Time,LUX
0.11,260.35
0.41,264.50
0.61,266.80
0.82,266.34
1.01,266.80
1.22,267.72
1.42,268.65
1.61,268.19
1.82,266.34
2.02,267.26
2.22,261.73
2.42,197.68
2.62,195.38
2.82,195.38
3.02,195.38
3.22,195.38
3.42,194.92
3.61,195.38
3.81,194.92
4.01,194.92
4.21,212.89
4.42,266.80
4.61,266.80
4.81,267.72
5.01,267.72
5.22,267.26
5.41,267.26
5.61,266.80
5.82,267.26
6.02,267.26
6.22,237.77
6.42,194.92
6.61,196.30
6.81,196.30
7.01,194.92
7.22,194.92
7.41,194.92
7.61,194.92
7.82,194.92
8.01,194.92
8.22,236.85
8.42,256.67
8.61,265.88
8.81,264.96
9.02,265.42
9.22,263.58
9.41,267.26
9.61,258.97
9.81,266.34
10.01,265.88
10.21,215.65
10.42,194.92
10.61,194.46
10.81,194.00
11.02,194.46
11.21,194.46
11.42,194.00
11.61,193.54
11.81,194.00
12.02,193.08
12.22,256.20
12.41,265.88
12.61,264.96
12.81,265.88
13.02,264.50
13.21,260.81
13.41,264.96
13.61,264.96
13.81,259.89
14.02,265.42
14.22,261.73
14.41,194.00
14.61,194.00
14.82,194.00
15.01,194.00
15.22,194.00
15.42,194.00
15.61,194.00
15.81,194.00
16.01,191.69
16.21,202.75
16.41,252.52
16.61,258.05
16.81,259.43
17.01,258.97
17.21,258.51
17.42,258.51
17.61,258.51
17.81,258.97
18.02,259.43
18.21,233.16
18.42,186.16
18.62,186.16
18.82,187.55
19.01,187.55
19.21,187.55
19.42,187.55
19.61,187.55
19.81,187.08
20.01,187.08
20.21,225.33
20.42,259.43
20.61,257.59
20.81,256.67
21.01,256.67
21.22,257.59
21.41,257.59
21.61,257.59
21.82,258.51
22.02,258.51
22.21,209.20
22.42,185.70
22.61,185.24
22.81,184.78
23.01,184.78
23.21,184.78
23.41,184.78
23.61,184.78
23.81,184.78
24.01,185.24
24.21,246.07
24.42,257.13
24.61,257.13
24.81,258.51
25.02,258.51
25.22,258.05
25.41,258.05
25.61,258.05
25.81,258.05
26.01,258.97
26.21,257.59
26.42,185.70
26.61,185.70
26.81,184.78
27.01,184.32
27.21,186.16
27.42,191.69
27.62,194.92
27.81,192.15
28.01,192.15
28.22,203.21
28.42,264.96
28.61,266.34
28.81,267.72
29.01,266.80
29.21,266.34
29.41,265.88
29.61,265.88
29.81,266.34
30.01,266.34
30.21,243.76
30.41,193.54
30.61,194.00
30.82,194.92
31.01,193.08
31.21,192.61
31.42,192.61
31.62,192.61
31.81,192.15
32.02,192.15
32.22,226.71
32.41,264.50
32.62,259.43
32.81,257.59
33.01,257.13
33.22,258.05
33.42,257.59
33.61,256.67
33.81,257.13
34.02,258.05
34.22,212.89
34.41,185.70
34.62,185.70
34.81,188.01
35.01,186.62
35.21,185.70
35.41,186.62
35.61,192.15
35.81,192.15
36.01,192.15
36.21,248.83
36.41,264.04
36.62,264.50
36.81,264.50
37.01,264.04
37.22,264.04
37.41,265.88
37.61,267.26
37.81,267.72
38.01,267.26
38.21,197.68
38.41,194.46
38.61,194.46
38.81,194.46
39.01,194.92
39.21,197.68
39.41,195.38
39.61,197.68
39.81,194.92
40.01,194.00
40.21,200.91
40.42,264.96
40.61,265.88
40.81,265.42
41.02,264.04
41.21,263.12
41.41,263.12
41.61,257.59
41.81,252.52
42.01,252.06
42.21,232.24
42.41,179.71
42.61,180.63
42.81,181.09
43.02,181.09
43.21,181.09
43.41,181.09
43.62,181.09
