Time,LUX
0.11,61.29
0.41,61.75
0.61,61.75
0.82,61.29
1.01,60.83
1.22,60.83
1.42,60.83
1.61,60.83
1.82,61.29
2.02,61.29
2.21,55.30
2.42,0.92
2.62,0.92
2.81,0.92
3.02,0.92
3.22,0.92
3.42,0.92
3.61,0.92
3.82,0.92
4.01,0.92
4.21,17.51
4.42,60.83
4.61,60.83
4.82,61.29
5.01,61.29
5.22,60.83
5.42,60.83
5.62,60.83
5.82,61.29
6.02,61.29
6.22,35.94
6.42,0.92
6.61,0.92
6.81,0.92
7.01,0.92
7.21,0.92
7.41,0.92
7.61,0.92
7.82,0.92
8.01,0.92
8.22,35.48
8.42,60.83
8.61,60.83
8.82,60.83
9.02,60.83
9.22,60.83
9.42,60.83
9.62,60.83
9.82,60.83
10.02,61.29
10.22,17.97
10.42,0.92
10.61,0.92
10.82,0.92
11.02,0.92
11.22,0.92
11.42,0.92
11.62,0.92
11.81,0.92
12.02,0.92
12.22,53.91
12.42,60.83
12.61,60.83
12.81,60.83
13.01,60.83
13.21,60.83
13.41,60.83
13.61,60.83
13.81,60.83
14.01,60.83
14.21,55.76
14.41,0.92
14.61,0.92
14.81,0.92
15.01,0.92
15.21,0.92
15.41,0.92
15.61,0.92
15.81,0.92
16.01,0.92
16.21,15.67
16.41,60.83
16.61,61.29
16.81,60.83
17.01,60.83
17.21,60.83
17.41,60.83
17.61,60.83
17.81,60.83
18.01,60.83
18.21,36.40
18.41,0.92
18.61,0.92
18.81,0.92
19.01,0.92
19.21,0.92
19.41,0.92
19.61,0.92
19.81,0.92
20.01,0.92
20.21,34.56
20.41,61.29
20.61,60.83
20.81,60.83
21.01,60.83
21.21,61.29
21.41,61.29
21.61,61.29
21.82,60.83
22.01,60.83
22.21,19.81
22.42,0.92
22.62,0.92
22.81,0.92
23.02,0.92
23.22,0.92
23.42,0.92
23.62,0.92
23.82,0.92
24.01,0.92
24.22,51.61
24.42,61.29
24.61,60.83
24.81,60.83
25.02,61.29
25.21,60.83
25.41,60.83
25.61,60.83
25.81,60.83
26.01,58.98
26.21,59.90
26.41,0.92
